###############################################################
#  Generated by:      Cadence Innovus 21.19-s058_1
#  OS:                Linux x86_64(Host ID il2225ht25_jcdavid)
#  Generated on:      Wed Dec 17 12:59:44 2025
#  Design:            drra_wrapper
#  Command:           report_timing     > ${RPT_DIR}/${TOP_NAME}_timing_${con}.txt
###############################################################
Path 1: VIOLATED (-275.289 ps) Setup Check with Pin Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/CLK->D
               View: AVF_RCWORST
              Group: clk
         Startpoint: (R) Silago_top_inst_6_0/SILEGO_cell/MTRF_cell/dpu_gen/mode_reg_reg[0]/CLK
              Clock: (R) clk
           Endpoint: (R) Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_divider/division/U_DIV/clk_r_REG151_S1/D
              Clock: (R) clk

                         Capture        Launch
         Clock Edge:+  16000.000         0.000
        Src Latency:+   -462.055      -462.055
        Net Latency:+    444.400 (P)   566.300 (P)
            Arrival:=  15982.346       104.245

              Setup:-     21.000
        Uncertainty:-    160.000
      Required Time:=  15801.345
       Launch Clock:=    104.245
          Data Path:+  15972.389
              Slack:=   -275.289

#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Timing Point                                                                                                Flags  Arc     Edge  Cell                     Fanout    Trans     Delay     Arrival  
#                                                                                                                                                                      (ps)      (ps)        (ps)  
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/U3/Z                                            C1C2  A->Z    R     SC8T_ND2IAX1_MR_CSC28L       15   21.900   106.700    5678.246  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_in_0_neg/U19/Z                                           C1C2  B->Z    F     SC8T_ND2IAX1_MR_CSC28L        1  124.500    71.200    5749.446  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U107/Z                                                     C1C2  B1->Z   R     SC8T_AOI22X1_CSC28L           3   41.000    71.000    5820.446  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U1080/Z                                                    C1C2  A2->Z   F     SC8T_OAI22X1_CSC28L           8  122.400   224.600    6045.046  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/FE_DBTC99_nacu_in_0_0_1/Z                         C1C2  A->Z    R     SC8T_INVX1_CSC28L             4  234.400   166.900    6211.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_1/CO                 C1C2  A->CO   R     SC8T_HAX1_CSC28L              1  111.900    91.000    6302.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_2/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.100    49.300    6352.246  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_3/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.100    49.900    6402.146  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_4/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.500    52.100    6454.246  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_5/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.600    52.700    6506.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_6/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.100    51.900    6558.846  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_7/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   19.800    50.500    6609.346  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_8/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   18.600    51.600    6660.946  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_9/CO                 C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.100    52.300    6713.246  
  Silago_bot_inst_6_1/SILEGO_cell/MTRF_cell/dpu_gen/U_NACU_0/U_2s_compliment/add_103/U1_1_10/CO                C1C2  B->CO   R     SC8T_HAX1_CSC28L              1   20.300    51.300    6764.546  
